feature,importance
total_throughput_mbps_roll_1h_mean,3138
total_iops_roll_1h_mean,3117
avg_latency_us_roll_1h_mean,2679
io_size_entropy,1742
hour,1613
total_throughput_mbps_roll_1h_std,1565
total_iops_roll_1h_std,1361
sequential_ratio,1273
total_throughput_mbps_roll_30m_mean,1199
total_iops_roll_30m_mean,1147
avg_latency_us_roll_1h_std,1139
hour_sin,1015
hour_cos,1002
total_throughput_mbps_roll_15m_mean,909
read_write_ratio,859
iops_per_queue,840
avg_latency_us_roll_30m_mean,828
read_latency_jitter,817
total_iops_lag_60m,792
write_pressure,764
total_iops_roll_15m_mean,748
avg_latency_us_lag_60m,735
read_iops,729
write_latency_jitter,710
total_throughput_mbps_roll_30m_std,670
write_iops,657
day_of_week,656
write_throughput_mbps,576
avg_latency_us_roll_30m_std,568
day_sin,567
queue_depth,550
total_iops_roll_30m_std,528
total_iops_lag_15m,517
total_iops_lag_30m,505
total_iops_lag_5m,494
avg_latency_us_lag_30m,493
total_iops_roll_15m_std,481
read_throughput_mbps,480
avg_latency_us_lag_15m,476
read_latency_p50_us,474
total_throughput_mbps_roll_15m_std,464
day_cos,450
avg_latency_us,443
avg_latency_us_roll_15m_mean,440
total_throughput_mbps,432
total_iops_pct_change,394
write_latency_p50_us,388
iops_latency_score,368
avg_latency_us_lag_5m,367
avg_latency_us_roll_15m_std,367
total_iops,336
total_iops_delta,294
avg_latency_us_delta,228
avg_latency_us_pct_change,216
write_latency_p95_us,107
read_latency_p95_us,100
read_latency_p99_us,90
write_latency_p99_us,70
io_size_avg_kb,33
is_weekend,0
